Country,Score,Economy,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Trust (Perception of corruption)
Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29
Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278
Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086
Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18
Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025
Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035
South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091
